customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Country,Region,ProfitabilityScore,CPI,CLV
1215-Figmp,Male,0,No,No,60,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),89.9,5450.7,No,Canada,North America,74.87,0.7487,6472.8
0526-Sxdjp,Male,0,Yes,No,72,No,No Phone Service,Dsl,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Transfer (Automatic),42.1,2962.0,No,UK,Europe,60.87,0.6087,3637.44
0557-Askvu,Female,0,Yes,Yes,18,Yes,No,Dsl,No,No,Yes,Yes,No,No,One Year,Yes,Credit Card (Automatic),54.4,957.1,No,Australia,Oceania,27.05,0.2705,1175.04
5698-Bqjoh,Female,0,No,No,9,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,94.4,857.25,Yes,India,Asia,31.81,0.15905,679.6800000000001
5122-Cyfxa,Female,0,No,No,3,Yes,No,Dsl,No,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,75.3,244.1,No,Singapore,Asia,21.53,0.21530000000000002,271.08
8627-Zygsz,Male,0,Yes,No,47,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,One Year,Yes,Electronic Check,78.9,3650.35,No,USA,North America,58.65,0.5865,4449.96
3410-Yoqbq,Female,0,No,No,31,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,79.2,2497.2,No,Singapore,Asia,45.86,0.4586,2946.2400000000002
3170-Nmyvv,Female,0,Yes,Yes,50,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),20.15,930.9,No,USA,North America,36.08,0.3608,1208.9999999999998
7410-Oiedu,Male,0,No,No,10,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,79.85,887.35,No,Australia,Oceania,28.79,0.2879,958.1999999999999
2273-Qckxa,Male,0,No,No,1,Yes,No,Dsl,No,No,No,Yes,No,No,Month-To-Month,No,Mailed Check,49.05,49.05,No,Australia,Oceania,13.12,0.13119999999999998,58.85999999999999
0731-Ebjqb,Female,0,Yes,Yes,52,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,20.4,1090.65,No,Australia,Oceania,37.81,0.37810000000000005,1272.9599999999998
1891-Qrqsa,Male,1,Yes,Yes,64,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),111.6,7099.0,No,USA,North America,88.27,0.8826999999999999,8570.88
8028-Pnxhq,Male,0,Yes,Yes,62,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),24.25,1424.6,No,Singapore,Asia,45.49,0.4549,1804.2
5630-Ahzil,Female,0,No,Yes,3,Yes,No,Dsl,Yes,No,No,Yes,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),64.5,177.4,No,Australia,Oceania,18.57,0.1857,232.2
2673-Cxqeu,Female,1,No,No,56,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,One Year,No,Electronic Check,110.5,6139.5,No,Canada,North America,80.23,0.8023,7425.599999999999
6416-Jnvrk,Female,0,No,No,46,Yes,No,Dsl,No,No,No,No,No,Yes,One Year,No,Credit Card (Automatic),55.65,2688.85,No,USA,North America,48.9,0.489,3071.88
5590-Zskrv,Female,0,Yes,Yes,8,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,No,Mailed Check,54.65,482.25,No,USA,North America,19.92,0.19920000000000002,524.64
0191-Zhskz,Male,1,No,No,30,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,74.75,2111.3,No,Singapore,Asia,42.84,0.42840000000000006,2691.0
3887-Pbqao,Female,0,Yes,Yes,45,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card (Automatic),25.9,1216.6,No,USA,North America,35.75,0.3575,1398.6
5919-Tmrgd,Female,0,No,Yes,1,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,79.35,79.35,Yes,USA,North America,20.88,0.10439999999999999,63.48
8108-Uxrqn,Female,0,Yes,Yes,11,No,No Phone Service,Dsl,Yes,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,50.55,565.35,No,Australia,Oceania,20.83,0.20829999999999999,667.2599999999999
9191-Myqkx,Female,0,Yes,No,7,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),75.15,496.9,Yes,Singapore,Asia,24.59,0.12295,420.8400000000001
9919-Ylnng,Female,0,No,No,42,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),103.8,4327.5,No,Australia,Oceania,64.51,0.6451,5231.5199999999995
0318-Zopws,Female,0,Yes,No,49,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),20.15,973.35,No,Australia,Oceania,35.68,0.3568,1184.82
4445-Zjnmu,Male,0,No,No,9,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),99.3,918.75,No,Singapore,Asia,33.26,0.3326,1072.4399999999998
4808-Ynleu,Female,0,Yes,No,35,Yes,No,Dsl,Yes,No,No,No,Yes,No,One Year,Yes,Bank Transfer (Automatic),62.15,2215.45,No,India,Asia,42.8,0.428,2610.2999999999997
1862-Qrwpe,Female,0,Yes,Yes,48,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),20.65,1057.0,No,Australia,Oceania,35.53,0.3553,1189.4399999999998
2796-Nnufi,Female,0,Yes,Yes,46,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Mailed Check,19.95,927.1,No,Canada,North America,33.8,0.33799999999999997,1101.2399999999998
3016-Ksvcp,Male,0,Yes,No,29,No,No Phone Service,Dsl,No,No,No,No,Yes,No,Month-To-Month,No,Mailed Check,33.75,1009.25,No,Canada,North America,28.12,0.2812,1174.5
4767-Hzzhq,Male,0,Yes,Yes,30,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),82.05,2570.2,No,USA,North America,46.27,0.46270000000000006,2953.7999999999997
2424-Wvhpl,Male,1,No,No,1,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Month-To-Month,No,Electronic Check,74.7,74.7,No,Canada,North America,19.69,0.19690000000000002,89.64
7233-Pahhl,Male,0,Yes,Yes,66,Yes,Yes,Dsl,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,84.0,5714.25,No,USA,North America,77.63,0.7763,6652.8
6067-Ngceu,Female,0,No,No,65,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),111.05,7107.0,No,India,Asia,88.72,0.8872,8661.9
9848-Jqjtx,Male,0,No,No,72,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),100.9,7459.05,No,Singapore,Asia,91.26,0.9126000000000001,8717.76
8637-Xjivr,Female,0,No,No,12,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,78.95,927.35,Yes,Singapore,Asia,29.82,0.1491,757.9200000000001
9803-Ftjcg,Male,0,Yes,Yes,71,Yes,Yes,Dsl,Yes,Yes,No,Yes,No,No,One Year,Yes,Credit Card (Automatic),66.85,4748.7,No,Singapore,Asia,72.74,0.7273999999999999,5695.619999999999
0278-Yxoog,Male,0,No,No,5,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,21.05,113.85,Yes,Canada,North America,8.49,0.04245,84.2
3212-Kxocr,Male,0,No,No,52,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),21.0,1107.2,No,India,Asia,38.02,0.38020000000000004,1310.3999999999999
4598-Xlknj,Female,1,Yes,No,25,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,98.5,2514.5,Yes,Canada,North America,47.46,0.2373,1970.0
6380-Arceh,Male,0,No,No,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.2,20.2,No,Canada,North America,5.73,0.057300000000000004,24.24
3679-Xaspy,Female,0,Yes,Yes,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Electronic Check,19.45,19.45,No,India,Asia,5.54,0.0554,23.34
7123-Wquhx,Male,0,No,No,38,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,One Year,No,Bank Transfer (Automatic),95.0,3605.6,No,India,Asia,57.57,0.5757,4332.0
5386-Thslq,Female,1,Yes,No,66,No,No Phone Service,Dsl,No,Yes,Yes,No,Yes,No,One Year,No,Bank Transfer (Automatic),45.55,3027.25,No,India,Asia,58.63,0.5863,3607.5599999999995
3192-Nqeca,Male,0,Yes,No,68,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),110.0,7611.85,Yes,India,Asia,91.86,0.4593,5984.0
6180-Ybiqi,Male,0,No,No,5,No,No Phone Service,Dsl,No,No,No,No,No,No,Month-To-Month,No,Mailed Check,24.3,100.2,No,Singapore,Asia,9.26,0.0926,145.79999999999998
6728-Dkuco,Female,0,Yes,Yes,72,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Electronic Check,104.15,7303.05,No,UK,Europe,91.54,0.9154000000000001,8998.56
9750-Boohv,Female,0,No,No,32,No,No Phone Service,Dsl,Yes,No,No,No,No,No,One Year,No,Mailed Check,30.15,927.65,No,UK,Europe,28.6,0.28600000000000003,1157.76
8597-Cwyhh,Male,0,No,No,43,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,One Year,No,Mailed Check,94.35,3921.3,No,India,Asia,61.27,0.6127,4868.459999999999
2848-Yxsmw,Male,0,Yes,Yes,72,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),19.4,1363.25,No,UK,Europe,49.61,0.4961,1676.1599999999999
0486-Heczi,Male,0,Yes,No,55,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,96.75,5238.9,Yes,UK,Europe,73.09,0.36545,4257.0
4549-Zdqyy,Female,0,No,No,52,Yes,No,Dsl,Yes,No,Yes,Yes,No,No,One Year,No,Credit Card (Automatic),57.95,3042.25,No,India,Asia,54.04,0.5404,3616.08
5712-Ahqnn,Female,0,No,No,43,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-To-Month,Yes,Electronic Check,91.65,3954.1,No,UK,Europe,60.7,0.607,4729.14
4846-Whafz,Female,1,Yes,No,37,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,76.5,2868.15,Yes,Canada,North America,49.79,0.24895,2264.4
5256-Skjgo,Female,0,Yes,Yes,64,No,No Phone Service,Dsl,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Electronic Check,54.6,3423.5,No,USA,North America,61.18,0.6118,4193.28
3071-Vbypo,Male,0,Yes,Yes,3,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,No,Electronic Check,89.85,248.4,No,USA,North America,25.22,0.2522,323.4599999999999
9560-Bbzxk,Female,0,No,No,36,No,No Phone Service,Dsl,Yes,No,No,No,No,No,Two Year,No,Bank Transfer (Automatic),31.05,1126.35,No,India,Asia,31.73,0.3173,1341.36
5299-Ruloa,Female,0,Yes,Yes,10,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,100.25,1064.65,Yes,Singapore,Asia,34.56,0.1728,802.0
8402-Ooohj,Female,0,No,No,41,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,20.65,835.15,No,India,Asia,30.88,0.30879999999999996,1015.9799999999999
9445-Zueqe,Male,0,Yes,Yes,27,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Month-To-Month,Yes,Credit Card (Automatic),85.2,2151.6,No,Singapore,Asia,43.96,0.4396,2760.48
1091-Sozga,Female,0,Yes,Yes,56,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,Yes,Credit Card (Automatic),99.8,5515.45,No,USA,North America,75.38,0.7537999999999999,6706.56
2928-Hldba,Female,0,No,No,6,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.7,112.75,No,India,Asia,8.95,0.0895,149.04
0404-Swrvg,Male,0,No,No,3,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,74.4,229.55,Yes,Australia,Oceania,21.26,0.1063,178.56000000000003
6497-Tilvl,Female,0,Yes,Yes,7,Yes,No,Dsl,Yes,No,No,No,No,No,Month-To-Month,No,Mailed Check,50.7,350.35,No,Canada,North America,17.91,0.1791,425.88000000000005
